sample_id,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
INT20,train,train,train,train,test,train
INT2,train,train,train,test,train,train
INT11,train,test,train,train,train,train
INT22,train,train,train,train,test,train
INT15,test,train,train,train,train,train
INT23,train,train,test,train,train,train
INT8,train,train,test,train,train,train
INT13,test,train,train,train,train,train
INT6,train,train,test,train,train,train
INT14,test,train,train,train,train,train
INT10,train,test,train,train,train,train
INT7,train,train,test,train,train,train
INT17,train,train,train,train,train,test
INT3,train,train,train,test,train,train
INT1,train,train,train,train,test,train
INT5,train,train,train,test,train,train
INT18,train,train,train,train,train,test
INT21,train,train,train,train,test,train
INT19,train,train,train,train,train,test
INT9,train,test,train,train,train,train
INT16,train,train,train,train,train,test
INT4,train,train,train,test,train,train
INT12,train,test,train,train,train,train
INT24,test,train,train,train,train,train
