sample_id,case_id,fold_0,fold_1,fold_2,fold_3,fold_4
LUAD_No_14,LUAD_No_14,train,test,train,train,train
LUAD_No_16,LUAD_No_16,test,train,train,train,train
LUAD_No_17,LUAD_No_17,train,train,train,train,test
LUAD_No_1,LUAD_No_1,train,train,test,train,train
LUAD_No_2,LUAD_No_2,test,train,train,train,train
LUAD_No_3,LUAD_No_3,train,train,test,train,train
LUAD_No_4,LUAD_No_4,train,train,train,test,train
LUAD_No_5,LUAD_No_5,train,train,train,test,train
FFPE_LUAD_No2_A,LUAD_No_2,test,train,train,train,train
FFPE_LUAD_No2_B,LUAD_No_2,test,train,train,train,train
FFPE_LUAD_No2_D,LUAD_No_2,test,train,train,train,train
FFPE_LUAD_No3_A,LUAD_No_3,train,train,test,train,train
FFPE_LUAD_No3_B,LUAD_No_3,train,train,test,train,train
FFPE_LUAD_No4_C,LUAD_No_4,train,train,train,test,train
FFPE_LUAD_No4_D,LUAD_No_4,train,train,train,test,train
TSU-19_a-1,TSU-19,train,test,train,train,train
TSU-19_a-2,TSU-19,train,test,train,train,train
TSU-19_b-1,TSU-19,train,test,train,train,train
TSU-19_b-2,TSU-19,train,test,train,train,train
TSU-20_1,TSU-20,train,train,test,train,train
TSU-20_2,TSU-20,train,train,test,train,train
TSU-21,TSU-21,train,test,train,train,train
TSU-22,TSU-22,test,train,train,train,train
TSU-23,TSU-23,train,train,test,train,train
TSU-24,TSU-24,train,train,test,train,train
TSU-25,TSU-25,train,train,train,train,test
TSU-26,TSU-26,train,train,train,test,train
TSU-27_1,TSU-27,train,train,train,train,test
TSU-27_2,TSU-27,train,train,train,train,test
TSU-28_1,TSU-28,train,train,train,train,test
TSU-28_2,TSU-28,train,train,train,train,test
TSU-30,TSU-30,train,train,train,test,train
TSU-31,TSU-31,train,train,test,train,train
TSU-32,TSU-32,test,train,train,train,train
TSU-33,TSU-33,train,train,train,train,test
TSU-34,TSU-34,train,test,train,train,train
TSU-35,TSU-35,test,train,train,train,train
TSU-36,TSU-36,train,train,train,test,train
TSU-37,TSU-37,train,test,train,train,train
TSU-38,TSU-38,train,train,train,train,test
TSU-39,TSU-39,train,train,train,test,train
TSU-40,TSU-40,train,test,train,train,train
TSU-41,TSU-41,test,train,train,train,train
