sample_id,case_id,fold_0,fold_1,fold_2,fold_3,fold_4
HTA12_129_7,HTA12_129,train,train,test,train,train
HTA12_129_8,HTA12_129,train,train,test,train,train
HTA12_129_9,HTA12_129,train,train,test,train,train
HTA12_134_7,HTA12_134,train,train,train,train,test
HTA12_134_8,HTA12_134,train,train,train,train,test
HTA12_135_10,HTA12_135,train,test,train,train,train
HTA12_135_11,HTA12_135,train,test,train,train,train
HTA12_135_12,HTA12_135,train,test,train,train,train
HTA12_135_13,HTA12_135,train,test,train,train,train
HTA12_135_14,HTA12_135,train,test,train,train,train
HTA12_135_15,HTA12_135,train,test,train,train,train
HTA12_246_3,HTA12_246,test,train,train,train,train
HTA12_139_3,HTA12_139,train,test,train,train,train
HTA12_142_9,HTA12_142,train,train,train,test,train
HTA12_142_10,HTA12_142,train,train,train,test,train
HTA12_142_11,HTA12_142,train,train,train,test,train
HTA12_142_12,HTA12_142,train,train,train,test,train
HTA12_144_5,HTA12_144,train,train,train,test,train
HTA12_145_4,HTA12_145,train,train,train,train,test
HTA12_248_8,HTA12_248,train,train,train,train,test
HTA12_248_10,HTA12_248,train,train,train,train,test
HTA12_248_12,HTA12_248,train,train,train,train,test
HTA12_249_7,HTA12_249,train,train,test,train,train
HTA12_249_9,HTA12_249,train,train,test,train,train
HTA12_250_7,HTA12_250,test,train,train,train,train
HTA12_251_4,HTA12_251,train,train,test,train,train
HTA12_129_14,HTA12_129,train,train,test,train,train
HTA12_129_18,HTA12_129,train,train,test,train,train
HTA12_247_5,HTA12_247,test,train,train,train,train
HTA12_248_23,HTA12_248,train,train,train,train,test
HTA12_250_13,HTA12_250,test,train,train,train,train
HTA12_253_9,HTA12_253,test,train,train,train,train
HTA12_253_10,HTA12_253,test,train,train,train,train
HTA12_253_11,HTA12_253,test,train,train,train,train
HTA12_253_12,HTA12_253,test,train,train,train,train
HTA12_253_8,HTA12_253,test,train,train,train,train
HTA12_253_13,HTA12_253,test,train,train,train,train
HTA12_254_5,HTA12_254,train,train,train,test,train
HTA12_254_6,HTA12_254,train,train,train,test,train
HTA12_254_7,HTA12_254,train,train,train,test,train
HTA12_254_8,HTA12_254,train,train,train,test,train
HTA12_255_7,HTA12_255,train,test,train,train,train
HTA12_262_2,HTA12_262,train,train,train,train,test
HTA12_266_5,HTA12_266,train,train,train,train,test
HTA12_271_5,HTA12_271,train,test,train,train,train
HTA12_283_1,HTA12_283,train,train,test,train,train
HTA12_285_1,HTA12_285,train,test,train,train,train
