sample_id,case_id,fold_0,fold_1,fold_2,fold_3,fold_4
HTA12_22_4,HTA12_22,train,train,train,test,train
HTA12_23_3,HTA12_23,train,train,test,train,train
HTA12_25_5,HTA12_25,test,train,train,train,train
HTA12_25_6,HTA12_25,test,train,train,train,train
HTA12_25_7,HTA12_25,test,train,train,train,train
HTA12_25_8,HTA12_25,test,train,train,train,train
HTA12_26_5,HTA12_26,train,train,test,train,train
HTA12_26_6,HTA12_26,train,train,test,train,train
HTA12_27_5,HTA12_27,train,test,train,train,train
HTA12_29_3,HTA12_29,train,train,train,test,train
HTA12_30_3,HTA12_30,train,train,train,train,test
HTA12_31_3,HTA12_31,train,train,train,test,train
HTA12_27_6,HTA12_27,train,test,train,train,train
HTA12_28_8,HTA12_28,train,test,train,train,train
HTA12_264_2,HTA12_264,train,train,train,train,test
HTA12_265_1,HTA12_265,train,test,train,train,train
HTA12_267_1,HTA12_267,train,train,train,test,train
HTA12_268_2,HTA12_268,train,train,test,train,train
HTA12_273_2,HTA12_273,train,train,train,train,test
