token,token_type,token_id
NAALADL1,gene,0
REXO2,gene,1
KCNJ6,gene,2
AASS,gene,3
COPS8,gene,4
PDE6A,gene,5
ACKR2,gene,6
LY6G6F-LY6G6D,gene,7
PLEKHG7,gene,8
NR2E3,gene,9
PPM1D,gene,10
RSAD1,gene,11
RTN4R,gene,12
C16orf86,gene,13
MGME1,gene,14
TMEM156,gene,15
MSANTD5,gene,16
YWHAB,gene,17
FAAP24,gene,18
IL23R,gene,19
MSL1,gene,20
ZMYND15,gene,21
SHISAL2B,gene,22
GABRQ,gene,23
BRMS1L,gene,24
TP53TG3F,gene,25
BBS1,gene,26
SEPTIN12,gene,27
DEF6,gene,28
TMEM106C,gene,29
HERC4,gene,30
SHOC2,gene,31
AEN,gene,32
DCUN1D3,gene,33
RHBDD3,gene,34
PIN1,gene,35
STK32C,gene,36
CFAP43,gene,37
LUM,gene,38
DEFB124,gene,39
SSR1,gene,40
MYO10,gene,41
ADGRV1,gene,42
NCKIPSD,gene,43
CACNG5,gene,44
HNF4G,gene,45
NPY1R,gene,46
PRIMPOL,gene,47
DESI1,gene,48
EXOC2,gene,49
SBNO1,gene,50
SLC66A3,gene,51
KRT19,gene,52
ZNF280A,gene,53
IDH2,gene,54
RCAN1,gene,55
CD101,gene,56
PSMF1,gene,57
TDRD15,gene,58
FKBP14,gene,59
FYCO1,gene,60
PSORS1C1,gene,61
GML,gene,62
BRCC3,gene,63
BIRC5,gene,64
GPR150,gene,65
ERO1A,gene,66
MAPK10,gene,67
PRR15,gene,68
FUT5,gene,69
NFKBIZ,gene,70
NID2,gene,71
CHTF8,gene,72
DRAP1,gene,73
PIK3AP1,gene,74
NR0B1,gene,75
CES2,gene,76
POLR2B,gene,77
WASHC5,gene,78
ORAI1,gene,79
CCDC43,gene,80
SNX20,gene,81
UAP1,gene,82
NEDD8-MDP1,gene,83
RPL36,gene,84
SLC19A2,gene,85
IL20RA,gene,86
CAPN8,gene,87
INPP1,gene,88
CKMT1A,gene,89
ALG2,gene,90
STS,gene,91
DEPDC4,gene,92
STRIP1,gene,93
MAPRE3,gene,94
VPS72,gene,95
CHFR,gene,96
PIMREG,gene,97
MEDAG,gene,98
GOLGA6L6,gene,99
TMEM230,gene,100
ZCCHC2,gene,101
NAP1L4,gene,102
FAM151B,gene,103
PSORS1C2,gene,104
SLC35B2,gene,105
CCDC83,gene,106
RAB6D,gene,107
TSNARE1,gene,108
PTGFRN,gene,109
TNFSF13B,gene,110
AMER2,gene,111
STK3,gene,112
SERPINA11,gene,113
LDHAL6A,gene,114
LMO1,gene,115
PCDHA10,gene,116
YBX3,gene,117
ARHGEF16,gene,118
ALG9,gene,119
PALS1,gene,120
RASA4B,gene,121
SLFN12,gene,122
IL12RB1,gene,123
FAM90A22,gene,124
POGZ,gene,125
