"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"AL627309.5","Unmatched","","","",""
"AL390719.2","Unmatched","","","",""
"AL391244.2","Unmatched","","","",""
"AL691432.4","Unmatched","","","",""
"AL691432.2","Unmatched","","","",""
"FO704657.1","Unmatched","","","",""
"AL139246.5","Unmatched","","","",""
"AL512413.1","Unmatched","","","",""
"AL031847.1","Unmatched","","","",""
"LINC00337","Previous symbol","ICMT-DT","ICMT divergent transcript","HGNC:28620","1p36.31"
"AL109811.2","Unmatched","","","",""
"AL021155.5","Unmatched","","","",""
"AL450998.2","Unmatched","","","",""
"Z98257.1","Unmatched","","","",""
"UBXN10-AS1","Previous symbol","PLA2G2C","phospholipase A2 group IIC","HGNC:9032","1p36.12"
"AL353622.1","Unmatched","","","",""
"AL360012.1","Unmatched","","","",""
"AL049795.2","Unmatched","","","",""
"AC114489.1","Unmatched","","","",""
"KIAA1522","Previous symbol","NHSL3","NHS like 3","HGNC:29301","1p35.1"
"YARS","Previous symbol","YARS1","tyrosyl-tRNA synthetase 1","HGNC:12840","1p35.1"
"ADPRHL2","Previous symbol","ADPRS","ADP-ribosylserine hydrolase","HGNC:21304","1p34.3"
"LINC01137","Previous symbol","LITATS1","lncRNA induced by TGF-beta and antagonizes TGF-beta signaling 1","HGNC:49453","1p34.3"
"C1orf109","Previous symbol","AIRIM","AFG2 interacting ribosome maturation factor","HGNC:26039","1p34.3"
"AL139260.1","Unmatched","","","",""
"AL050341.2","Unmatched","","","",""
"AL031985.3","Unmatched","","","",""
"AL603839.3","Unmatched","","","",""
"AL512353.1","Unmatched","","","",""
"SLC2A1-AS1","Previous symbol","SLC2A1-DT","SLC2A1 divergent transcript","HGNC:44187","1p34.2"
"FAM183A","Previous symbol","CFAP144","cilia and flagella associated protein 144","HGNC:34347","1p34.2"
"AL139289.2","Unmatched","","","",""
"AL357079.1","Alias symbol","LINC02918","long intergenic non-protein coding RNA 2918","HGNC:55649","1p34.1"
"AL139220.2","Unmatched","","","",""
"AL604028.1","Unmatched","","","",""
"AL358075.2","Unmatched","","","",""
"AL606760.1","Unmatched","","","",""
"HSPB11","Previous symbol","IFT25","intraflagellar transport 25","HGNC:25019","1p32.3"
"LINC01135","Previous symbol","JUN-DT","JUN divergent transcript","HGNC:49450","1p32.1"
"AC099791.2","Unmatched","","","",""
"WDR78","Previous symbol","DNAI4","dynein axonemal intermediate chain 4","HGNC:26252","1p31.3"
"HHLA3","Previous symbol","ANKRD13C-DT","ANKRD13C divergent transcript","HGNC:4906","1p31.1"
"AC118549.1","Unmatched","","","",""
"AC103591.3","Unmatched","","","",""
"AL359504.2","Unmatched","","","",""
"AL683887.1","Unmatched","","","",""
"AC118553.1","Unmatched","","","",""
"AC104506.1","Unmatched","","","",""
"AC093157.1","Unmatched","","","",""
"AL359258.2","Unmatched","","","",""
"FAM102B","Previous symbol","EEIG2","EEIG family member 2","HGNC:27637","1p13.3"
"AL356488.3","Unmatched","","","",""
"AL356488.2","Unmatched","","","",""
"KIAA1324","Previous symbol","ELAPOR1","endosome-lysosome associated apoptosis and autophagy regulator 1","HGNC:29618","1p13.3"
"SARS","Alias symbol","SARS2","seryl-tRNA synthetase 2, mitochondrial","HGNC:17697","19q13.2"
"SARS","Previous symbol","SARS1","seryl-tRNA synthetase 1","HGNC:10537","1p13.3"
"AL160006.1","Unmatched","","","",""
"AL355488.1","Unmatched","","","",""
"AL355816.2","Unmatched","","","",""
"PIFO","Previous symbol","CIMAP3","ciliary microtubule associated protein 3","HGNC:27009","1p13.2"
"AC253572.2","Unmatched","","","",""
"FCGR1B","Previous symbol","FCGR1BP","Fc gamma receptor Ib, pseudogene","HGNC:3614","1p11.2"
"AL592494.2","Unmatched","","","",""
"AC245014.3","Unmatched","","","",""
"AC239799.2","Unmatched","","","",""
"AC239799.1","Unmatched","","","",""
"AC245407.2","Unmatched","","","",""
"AC242426.2","Unmatched","","","",""
"AC239809.3","Unmatched","","","",""
"AC245297.3","Unmatched","","","",""
"HIST2H2BF","Previous symbol","H2BC18","H2B clustered histone 18","HGNC:24700","1q21.2"
"HIST2H2AA4","Previous symbol","H2AC19","H2A clustered histone 19","HGNC:29668","1q21.2"
"AC239868.1","Unmatched","","","",""
"HIST2H2BE","Previous symbol","H2BC21","H2B clustered histone 21","HGNC:4760","1q21.2"
"HIST2H2AC","Previous symbol","H2AC20","H2A clustered histone 20","HGNC:4738","1q21.2"
"AC244033.2","Unmatched","","","",""
"AL391069.2","Unmatched","","","",""
"BX470102.2","Unmatched","","","",""
"AL358472.4","Unmatched","","","",""
"AL358472.3","Unmatched","","","",""
"AL451085.2","Alias symbol","PYGO2-AS1","PYGO2 and SHC1 antisense RNA 1","HGNC:55250","1q21.3"
"AC234582.1","Unmatched","","","",""
"GBA","Previous symbol","GBA1","glucosylceramidase beta 1","HGNC:4177","1q22"
"FAM189B","Previous symbol","ENTREP3","endosomal transmembrane epsin interactor 3","HGNC:1233","1q22"
"AL353807.5","Unmatched","","","",""
"C1orf61","Previous symbol","MIR9-1HG","MIR9-1 host gene","HGNC:30780","1q22"
"RRNAD1","Previous symbol","METTL25B","methyltransferase like 25B","HGNC:24273","1q23.1"
"AL590560.2","Unmatched","","","",""
"AL592435.1","Unmatched","","","",""
"AL391001.1","Unmatched","","","",""
"Z99572.1","Unmatched","","","",""
"C1orf112","Previous symbol","FIRRM","FIGNL1 interacting regulator of recombination and mitosis","HGNC:25565","1q24.2"
"EEF1AKNMT","Previous symbol","METTL13","methyltransferase 13, eEF1A N-terminus and K55","HGNC:24248","1q24.3"
"AL645568.1","Unmatched","","","",""
"AL162431.1","Unmatched","","","",""
"AL355482.2","Unmatched","","","",""
"AL355999.1","Unmatched","","","",""
"AL354953.1","Unmatched","","","",""
"AL096803.2","Unmatched","","","",""
"AL136454.1","Unmatched","","","",""
"AC096677.1","Alias symbol","CSRP1-AS1","CSRP1 antisense RNA 1","HGNC:55856","1q32.1"
"AC092803.1","Unmatched","","","",""
"EPRS","Previous symbol","EPRS1","glutamyl-prolyl-tRNA synthetase 1","HGNC:3418","1q41"
"MARC2","Previous symbol","MTARC2","mitochondrial amidoxime reducing component 2","HGNC:26064","1q41"
"MARC1","Previous symbol","MTARC1","mitochondrial amidoxime reducing component 1","HGNC:26189","1q41"
"AL592148.3","Unmatched","","","",""
"AL392172.1","Unmatched","","","",""
"AC099066.2","Unmatched","","","",""
"AL591895.1","Unmatched","","","",""
"AL512343.2","Unmatched","","","",""
"AL353593.1","Unmatched","","","",""
"HIST3H2A","Previous symbol","H2AC25","H2A clustered histone 25","HGNC:20507","1q42.13"
"AL162595.1","Unmatched","","","",""
"AL445524.1","Unmatched","","","",""
"AL160408.1","Unmatched","","","",""
"AL391832.2","Unmatched","","","",""
"AL732292.2","Unmatched","","","",""
"TBCE-1","Unmatched","","","",""
"AL359921.2","Unmatched","","","",""
"AL359921.1","Unmatched","","","",""
"CEP170","Approved symbol","CEP170","centrosomal protein 170","HGNC:28920","1q43"
"ADSS","Previous symbol","ADSS2","adenylosuccinate synthase 2","HGNC:292","1q44"
"AL390728.6","Unmatched","","","",""
"AC093390.1","Unmatched","","","",""
"AC108488.1","Unmatched","","","",""
"RNASEH1-AS1","Previous symbol","RNASEH1-DT","RNASEH1 divergent transcript","HGNC:49289","2p25.3"
"AC108488.3","Unmatched","","","",""
"AC093904.4","Unmatched","","","",""
"AC073195.1","Unmatched","","","",""
"AC010969.2","Unmatched","","","",""
"AC104794.3","Unmatched","","","",""
"FAM49A","Previous symbol","CYRIA","CYFIP related Rac1 interactor A","HGNC:25373","2p24.2"
"AC012073.1","Unmatched","","","",""
"FAM166C","Previous symbol","CIMIP2C","ciliary microtubule inner protein 2C","HGNC:27938","2p23.3"
"AC074117.1","Alias symbol","GTF3C2-AS2","GTF3C2 antisense RNA 2","HGNC:55699","2p23.3"
"AC092164.1","Unmatched","","","",""
"AL121658.1","Unmatched","","","",""
"AL133243.2","Unmatched","","","",""
"AC016995.1","Unmatched","","","",""
"AC019171.1","Unmatched","","","",""
"AC010883.3","Unmatched","","","",""
"AC093833.1","Unmatched","","","",""
"AC009236.1","Unmatched","","","",""
"AC079807.1","Unmatched","","","",""
"AC012358.3","Unmatched","","","",""
"AC015982.2","Unmatched","","","",""
"KIAA1841","Previous symbol","SANBR","SANT and BTB domain regulator of CSR","HGNC:29387","2p15"
"AC016747.1","Unmatched","","","",""
"AC016727.1","Alias symbol","USP34-DT","USP34 divergent transcript","HGNC:55262","2p15"
"WDR92","Previous symbol","DNAAF10","dynein axonemal assembly factor 10","HGNC:25176","2p14"
"AC010913.1","Unmatched","","","",""
"AC073263.1","Unmatched","","","",""
"BOLA3-AS1","Previous symbol","BOLA3-DT","BOLA3 divergent transcript","HGNC:42922","2p13.1"
"AC005041.5","Unmatched","","","",""
"AC009309.1","Unmatched","","","",""
"AC233266.2","Unmatched","","","",""
"AC009237.14","Alias symbol","LINC03052","long intergenic non-protein coding RNA 3052","HGNC:56335","2q11.1"
"AC092683.1","Alias symbol","APPAT","atherosclerotic plaque pathogenesis associated transcript","HGNC:56009","2q11.2"
"KIAA1211L","Previous symbol","CRACDL","CRACD like","HGNC:33454","2q11.2"
"AC012360.2","Unmatched","","","",""
"AC012360.3","Unmatched","","","",""
"AC079922.2","Unmatched","","","",""
"CBWD2","Previous symbol","ZNG1B","Zn regulated GTPase metalloprotein activator 1B","HGNC:17907","2q14.1"
"AC009404.1","Unmatched","","","",""
"AC012363.2","Unmatched","","","",""
"AC017033.1","Unmatched","","","",""
"AC012306.2","Unmatched","","","",""
"DARS","Previous symbol","DARS1","aspartyl-tRNA synthetase 1","HGNC:2678","2q21.3"
"DARS-AS1","Previous symbol","DARS1-AS1","DARS1 antisense RNA 1","HGNC:40170","2q21.3"
